Entity,Match,Matched Entity,Score
RTA,True,Rales,0.92515475
scarlet fever,True,Scarlet fever,0.9999998
the typical rash,True,Vulvar rash,0.92103034
right upper lobe pneumonia,True,Bilat lower lobe pneumonia,0.94403374
flattening T waves,True,Abnl plasma viscosity,0.8896676
hypovolemic shock,True,Hypovolemic shock,1.0000001
hypocalcemia,True,Hypocalcemia,1.0
positive proteins,True,Serum sickness,0.8696023
positive red blood cells,True,White blood cell disorder,0.89526236
positive glucose,True,Positive culture finding,0.9011506
no response,True,Rales,0.873279
non reactive,True,Reactive confusion,0.9001686
absent,True,Canities,0.89611816
no gag,False,HIV positive,0.8071949
increased throughout,True,Elevated CEA,0.91479576
both extended and internally rotated,True,Monofixation syndrome,0.86360013
silent,True,Confusion,0.9593738
no spontaneous movement,True,Persistent miosis,0.8880462
blurred,True,Confusion,0.9574798
severe cerebral edema,True,Traumatic cerebral edema,0.9596641
"thalamic mid brain , pons , medullar low attenuation",True,Hx of parameatal cyst,0.88356686
diffuse cerebral edema,True,Diffuse axonal brain injury,0.9409143
loss of gray white matter differentiation,True,White matter disease,0.9297485
complete absence of blood flow to brain,True,"Vascular insufficiency of limb, unspecified type",0.9094192
a tiny region of activity,True,Transient heat fatigue,0.87669694
the varicella,True,Varicella,0.95345694
severe neurological injury,True,"Severe sepsis w acute organ dysfunction, w anaerobic septicemia",0.9102531
poor prognosis,False,Cancer metastatic to unspecified LN,0.84228265
rectal bleeding,True,Rectal bleeding,1.0000002
GI bleeding,True,Gi symptoms,0.9719557
arteriovenous malformations,True,Acquired arteriovenous malformation,0.9605045
maroon stool,True,Black piedra,0.9188796
a hematocrit drop,True,Precipitous hematocrit drop,0.91917336
black stools,True,Fecal urgency,0.90592265
clear blood,True,Wound drainage,0.9101655
decreased PO intake,True,Exposure to HIV,0.90569377
a bloody bowel movement,True,Absent bowel sounds,0.9351013
bilious return,True,Bilious emesis,0.9244933
guiaiac positive maroon stool,True,Charcot Marie Tooth disease,0.9222675
DM nephropathy,True,Secondary DM w nephropathy,0.9728204
Chronic GI bleeding,True,Gi symptoms,0.9243759
documented AVMs,True,TB of CNS,0.9033531
Coagulopathy,True,Coagulopathy due to liver disease,0.9492266
HIT,True,Angry,0.9310564
Cardiomyopathy,True,Secondary cardiomyopathy,0.98157144
MRSA endocardiitis,True,HX of endocarditis,0.95329
Osteoarthritis,True,Osteoarthritis,1.0000002
Paroxysmal atrial fibrillation,True,"Atrial flutter, paroxysmal",0.95221305
Barrett 's Esophagus,True,Barretts esophagus w dysplasia,0.9335729
wheelchair bound,True,Wheelchair dependence,0.9577577
Slight conjunctival pallor,True,Right conjunctival pigmentation,0.9419593
Slightly dry mucous membranes,True,Mucus plugging,0.921915
Systolic murmur in right upper sternal border,True,Right atrial enlargement,0.900899
Andringa,True,Macrogenia,0.9177492
Crackles in lower lung fields,True,Restrictive lung mechanics due to kyphoscoliosis,0.91266465
rhonci,True,Macrogenia,0.93433493
Slightly hyperactive bowel sounds throughout,True,Hyperactive bowel sounds,0.9580977
Nontender,True,Bilat knee joint pain,0.8516957
Guaiac positive maroon stool,True,Charcot Marie Tooth disease,0.9277964
"lower extremity edema , bilaterally",True,"Edema, left lower eyelid",0.92759687
No radial pulse on right,True,HX of non ST elevation MI,0.89329946
markedly prolonged P-R interval,True,Hx of drug induced QT prolongation w torsades,0.91122663
Wenckebach type,True,Pelizaeus Merzbacher disease,0.9285978
atrio-ventricular conduction delay,True,Common atrioventricular canal,0.9600023
Right bundle-branch block,True,Right bundle branch block,0.98731625
Indeterminate frontal plane QRS axis,True,Mammographic bilat breast calcifications,0.8987372
multiple abnormalities,True,Fetal hereditary disease,0.89098144
major change,True,Elevated CEA,0.8994768
Active radiotracer activity in the right lower quadrant,True,Adverse effect of radiocontrast,0.8879995
Angioectasias in the fundus,True,Angiodysplasia of stomach w hemorrhage,0.92939764
Angioectasias in the antrum,True,Angiodysplasia of stomach w hemorrhage,0.9321443
Angioectasias in the proximal jejunum and mid jejunum,True,Angiodysplasia of stomach w hemorrhage,0.9309533
Angioectasia in the duodenum,True,Angiodysplasia of stomach w hemorrhage,0.9414834
The fundal AVMs,True,Hx of ACL tear reconstruction,0.9124766
Blood in the colon,True,Foreign body in colon,0.92321974
Grade 1900-01-01 external hemorrhoids,True,CAD of CABG wo angina,0.8508749
Angioectasia in the colon,True,Angiodysplasia of stomach w hemorrhage,0.94031096
Diverticulosis of the colon,True,Diverticulosis of colon,0.98846525
an AVM,True,Abnl reflex,0.87951624
further bleeding,True,Breakthrough bleeding,0.9083386
AVM 's,True,TB of CNS,0.92623967
the culprit lesion,True,Brain compression due to focal lesion,0.8565109
Chronic thrombocytopenia,True,Primary thrombocytopenia,0.98765934
acute bleeding phase,True,Breakthrough bleeding,0.9163479
itching,True,Dry skin,0.9195253
Acute blood loss anemia,True,Anemia due to blood loss,0.93792784
Thrombocytopenia - chronic,True,Thrombocytopenia-absent radius syndrome,0.994719
DM type 1900-01-01,True,COVID-19 disease,0.85476255
CKD stage 1900-01-05,True,CKD stage 5 (gfr <15),0.92141217
weight > 1900-01-03 lbs,True,DM 1 w left severe nonproliferative retinopathy,0.88525987
any other symptoms,True,Pain disorder w psychological factors,0.8565144
MITRAL STENOSIS,True,Mitral valve stenosis,0.98491275
Mitral stenosis,True,Mitral valve stenosis,0.98491275
Tricuspid insufficiency,True,Tricuspid valve stenosis,0.96217555
rheumatic fever,True,Rheumatic fever,1.0000001
progressive heart failure,True,Left heart failure,0.9649648
worsening mitral stenosis,True,Mitral valve stenosis,0.9590585
severe pulmonary hypertension,True,Hx of portal hypertension,0.9297817
severe mitral stenosis,True,Mitral valve stenosis,0.97446465
secondary tricuspid valve regurgitation,True,Tricuspid valve disorder,0.96967745
recurrent epistaxis,True,Posterior epistaxis,0.96568763
mild elevation,True,Acute MI,0.9301259
prominent V-waves,True,T wave inversion in ekg,0.87899625
systolic and diastolic murmurs,True,"Combined systolic and diastolic heart failure, acute",0.9695843
venous stasis changes on her legs,True,"Venous stasis edema w ulcer of left lower leg, unspecified site and depth",0.9618131
some edema,True,Localized edema,0.9256295
initially slightly agitated,True,Transient heat fatigue,0.88114625
an Intensive Care Unit psychosis,True,"Postpartum psychosis, in remission",0.90345216
a slow ventricular response,True,HX of sustained ventricular tachycardia,0.92215765
somewhat anemic,True,Scorbutic anemia,0.9005765
this continued atrial fibrillation,True,Chronic atrial fibrillation,0.9594422
EPISTAXIS,True,Epistaxis,0.9999999
Epistaxis,True,Epistaxis,0.9999999
tricuspid regurgitation,True,Tricuspid valve regurgitation,0.97915685
chronic ventricular ectopy,True,Premature ventricular beats,0.937775
rheumatic heart disease,True,Rheumatic heart disease,0.9999999
epistaxis,True,Epistaxis,0.9999999
Right neck and right groin catheterization sites,True,Right iliac vein injury,0.91997856
moderate ventricular response,True,Hx of biventricular implantable cardiac defibrillator (removed),0.92371917
right ventricular hypertrophy,True,Right ventricular hypertrophy,1.0000002
right axis deviation,True,Left orbital deformity,0.8824785
occluded,True,Cerebral artery occlusion,0.89106035
GBS positive,True,Lop ears,0.9248785
apnea,True,Apnea,0.99999994
significant apneic or bradycardic spells,True,"Neonatal apnea, unspecified",0.89667296
infectious condition,True,Infectious disease carrier,0.94904184
abnormal reports,True,POEMS syndrome,0.9128183
multiple strokes,True,Repeated falls,0.89306104
a spontaneous subdural hematoma,True,Traumatic subdural hematoma,0.98114675
prostatic hypertrophy,True,Prostate hyperplasia,0.95412135
increasing dyspneic,True,Dyspnea,0.9520801
chronically and acutely ill,True,Acute on chronic respiratory failure,0.9033829
dyspneic,True,Dyspnea,0.9698014
mildly febrile,True,Simple febrile seizure,0.96456105
coarse rales in both bases,True,Bilat Eales disease,0.9074261
His prostate enlarged,True,Prostate calculus,0.9377739
peripheral edema,True,Peripheral edema,1.0
intermittently grossly bloody urine,True,Rebound abdominal tenderness,0.90600884
bilateral densities,True,Agnosia,0.8768405
his fever,True,Chest cold,0.89934033
choking,True,Confusion,0.95360386
intermittently many coarse rales in his base,True,Gouty tophi of heart,0.90628874
Aspiration pneumonia bilateral,True,Aspiration pneumonia,0.9843196
gross hematuria,True,Gross hematuria,1.0000004
parietal subdural bleed on the right side,True,Subdural hematoma due to birth trauma,0.9481329
acne,True,Inflammatory acne,0.96267617
trauma,True,Burn,0.951083
step-off,False,Effects of water pressure,0.8479123
a small right parietal subdural blood,True,Complex partial occipital lobe epilepsy,0.91042626
change in the subdural bleed,True,Hx of subdural hematoma,0.94122785
some small frontal pressure,True,Popping of bilat knees,0.9070277
the bleed,True,Tetany,0.89453816
her acne,True,Inflammatory acne,0.9509287
Right parietal subdural bleed,True,Right retrobulbar optic neuritis,0.92281497
neurologic deficits,True,Neurologic neglect syndrome,0.92304146
progression,True,Deaf,0.9464317
Acne,True,Inflammatory acne,0.96267617
METASTATIC ADENOCARCINOMA OF THE BREAST,True,Adenocarcinoma metastatic to bilat kidneys,0.98129225
HYPONATREMIA,True,Hyponatremia,1.0000004
PULMONARY EMBOLUS,True,Cerebral embolism,0.9733347
DIARRHEA,True,Diarrhea,1.0000002
NAUSEA,True,Nausea,1.0000001
VOMITING,True,Vomiting,0.9999998
FEVER,True,Fever,1.0
a metastatic adenocarcinoma of the breast,True,Adenocarcinoma metastatic to bilat kidneys,0.96879786
chest wall ulceration,True,Labial ulceration,0.94600856
a tender right axillary mass,True,Right axillary mass,0.9607619
bilateral breast masses,True,Left breast lump,0.96105945
carcinoma,True,"Adenocarcinoma, head",0.9246899
atypical cells,True,Atypical pneumonia,0.91469777
degenerative joint disease in the shoulders and lumbar spine,True,Arthropathy of spine in Behcets syndrome,0.93999743
increased radio chaser uptake in the breast bilaterally,True,Extravasation of iv contrast media,0.88203746
"a 1900-01-05 cm poorly differentiated , Grade III out of III infiltrating ductal carcinoma",True,Incomplete C1-C4 quadriplegia,0.8680485
metastatic carcinoma,True,Adenocarcinoma metastatic to bilat kidneys,0.9512832
a mass on the right pectoralis muscle,True,Skin mass of right lower leg,0.9378686
metastatic cancer,True,Metastatic cancer to eye,0.9541439
1900-01-05 cm poorly differentiated infiltrating ductal and intraductal carcinoma,True,"Female breast cancer, right central portion",0.8779791
extensive lymphatic vessel invasion,True,Lymphangioma,0.8935599
a large hematoma,True,Traumatic hematoma,0.94599175
a Stage III-A adenocarcinoma of the breast,True,Recurrent bilat tmj dislocation,0.88392717
local and metastatic recurrence,True,Cancer metastatic to abdominal organ,0.91509354
her tumor,True,Lip cancer,0.8929581
myelosuppression,True,"Myelodysplastic disease, unspecified type",0.9204998
a flu-like illness,True,Influenza like illness,0.93961483
nonproductive cough,True,Hx of bacterial infection,0.88511395
diffuse interstitial infiltrates,True,Diffuse interstitial pulmonary fibrosis,0.98764926
viral pneumonitis,True,Chemical pneumonitis,0.97632354
Chlamydia,True,Chlamydia infection,0.98370373
chest wall nodules,True,Multiple pulmonary nodules,0.9515033
tumor recurrences,True,Recurrent bacterial infection,0.8989419
mediastinal recurrence,True,"Mediastinal cancer, posterior",0.94461036
metastatic disease,True,Metastatic cancer to eye,0.93585277
Complications,True,Bleeding,0.9458877
Klebsiella UTI,True,Klebsiella UTI,1.0000001
a decrease in the pretracheal nodes,True,Hx of cervical dysplasia,0.9004796
some lymphangitic spread,True,Acute lymphangitis,0.9486283
some pneumonitis,True,Chemical pneumonitis,0.9787967
blood clots in the urine,True,Urinary extravasation,0.9109553
metastatic breast cancer,True,Cancer metastatic to breast,0.945205
UTIs,True,IUD surveillance,0.92553467
obstruction of the right subclavian vein and right brachial cephalic vein,True,Anomalous origin of right subclavian artery,0.91539645
herpes zoster,True,Herpes zoster,0.99999994
easy bruis ability,True,"Gum blister, w infection",0.91407984
miotic,True,Miosis,0.97819793
a 1900-01-05 x 1900-01-07 cm necrotic area,False,CAD of CABG wo angina,0.8407756
some pus,True,Microgyria,0.88818425
very swollen,True,Reactive confusion,0.8837367
no voluntary movement,True,Postural instability of gait,0.8688388
difficulty with recent memory,True,Cognitive deficit in attention or concentration,0.88926834
mild weakness in the left extremities,True,Weakness of left arm,0.94186056
trace protein,True,Smallpox,0.89031845
trace ketones,True,Ketone metabolism disorder,0.9013884
positive for bilirubin and nitrogen,True,Elevated total bilirubin,0.94765395
1900-01-04 to 1900-01-06 wbcs,False,COVID-19 disease,0.7667693
1+ bacteria,True,Type 1 MI,0.8982587
a left paratracheal adenopathy,True,"Adenocarcinoma, left fallopian tube",0.9158669
small left pleural effusion,True,Secondary pleural effusion,0.9678857
metastatic breast cell CA,True,Metastatic cancer to eye,0.93594515
an erythema on her left chest wall,True,Skin lesion of left ear,0.9191404
the diarrhea,True,Diarrhea,0.9696012
here rythematous induration,True,Nonbullous erythema multiforme,0.93560433
her left arm lesion,True,Left shoulder slap lesion,0.9423909
her clouded thinking,True,"Reaction of childhood, misery and unhappiness",0.88086
enhancing lesions,True,Liver lesion,0.8614539
SIADH,True,IgA deficiency,0.9297124
her hyponatremia,True,Hyponatremia,0.9784126
a wedge shaped infiltrate in the right upper lobe,True,Pulmonary infiltrates,0.913713
Hampton &apos;s hump,True,Abnl abdominal MRI,0.8989321
the other problems,True,Poisoning by drug,0.8689978
significant edema in both arms,True,Peripheral edema,0.9111524
some mild edema in the lower extremities,True,"Edema, left lower eyelid",0.92126113
a little dry,True,Black piedra,0.88897806
the pulmonary embolus,True,Acute pulmonary embolism,0.96900153
The complications,True,Wound drainage,0.8928175
the hyponatremia,True,Hyponatremia,0.9825775
the elevatd blood pressure,True,Hypertensive heart and CKD,0.8804661
the rash in her left groin area,True,Localized swelling on right arm,0.93370044
very weak,True,Lack of coordination,0.87367344
the bilateral edema,True,Peripheral edema,0.93462116
her difficulty breathing,True,Difficulty feeding self,0.9451916
a congenital cystic adenomatoid malformation,True,Congenital cystic globe,0.9808455
CCAM,True,Secondary dm,0.9004536
a vigorous nondysmorphic,True,Pseudo-hurler polydystrophy,0.8930881
slightly decreased breath sounds on the right,True,Stiffness of right hand joint,0.884879
sacral anomalies,True,Congenital neck anomaly,0.93722904
some mediastinal shift,True,Mediastinal disease,0.9513718
the right-sided lesion,True,Right median nerve lesion,0.91256857
increasing shift,True,Growing pains,0.91100466
cardiovascular issues,True,Blood pressure elevation,0.9349876
the increased respiratory distress,True,Respiratory abnormality,0.91287315
guarded condition,True,Acute MI,0.9203858
Right-sided congenital cystic adenomatoid malformation,True,Congenital cerebral cyst,0.9606317
INCREASED LETHARGY,True,Lethargy,0.9447491
DEHYDRATION,True,Dehydration,1.0000001
progressing slowing of mentation,True,Cognitive changes due to medical disorder,0.8908422
gait difficulties,True,Gait abnormality,0.95392644
ICH,True,Rash,0.90610445
multiple intracranial hemorrhages,True,Traumatic intracranial hemorrhage,0.9745415
arrhythmia,True,Cardiac arrhythmia,0.98279953
gradual decline in gait,True,Postural instability of gait,0.9216269
slowing of mentation,True,Effects of water pressure,0.89966285
a small abrasion,True,"Head abrasion, w infection",0.9334773
a headache,True,Tension headache,0.91960835
unsteady,True,Instantaneous death,0.88803357
difficulties with memory,True,Cognitive deficit in communication skills,0.89789927
even more unsteady,True,Effects of high pressure fluids,0.882771
another bleed,True,Acute abdomen,0.8873278
neckpain,True,Niacin deficiency,0.853951
focal weakness,True,Focal motor seizure,0.93941855
any fever,True,Chest cold,0.9016481
hearing changes,True,Hearing problem,0.9696169
dysphagia,True,Dysphagia,1.0
bowel-bladder dysfunction,True,Voiding dysfunction,0.9497633
"weaker , bilaterally",True,Left hand muscle strain,0.859853
Previous interventricular hemorrhages,True,Intraventricular hemorrhage due to birth trauma,0.9683119
residual deficits;,True,"Memory deficit, late effect of stroke",0.89312184
"ICH in 3rd , 4th , and L-lat ventricle",False,Hx of retinal branch vein occlusion,0.83970535
aneurysm,True,Peripheral artery aneurysm,0.95636094
ICH in R-temporal lobe,True,HX of parietal stroke,0.9207207
underlying mass,True,Lung mass,0.9084792
Afibb,True,IUD surveillance,0.9271931
NSVT,True,CMV infection,0.91907614
slowness of gait,True,Postural instability of gait,0.94095904
parkinsons,True,Parkinsons disease,0.9741513
PD,True,Pimples,0.9145013
orthostatic hypotension,True,Orthostatic hypotension,1.0
bleeds,True,Breakthrough bleeding,0.9081118
strokes,True,Fatigue,0.91422063
limited range neck movements bilaterally,True,Postural instability of gait,0.9103638
edema;,True,Edema,0.9340132
cold feet bilaterally,True,Left ear fullness,0.9150873
facial expression somewhat sparse,True,Face muscle strain,0.903006
paraphasic errors,True,Bilat aphakia,0.9015384
difficulties putting handles in clock,True,Difficulty feeding self,0.8652046
Apraxia,True,Apraxia,1.0000002
Neglect,True,Fever,0.9566408
horizontal endgaze nystagmus,True,Downbeat nystagmus,0.9499335
Limited CMED CCU movements in upgaze,True,RUQ abdominal rigidity,0.90508777
fasciculations,True,Fasciculation,0.9947991
Decreased bulk throughout,True,Fluid volume disorder,0.90943956
adventitious movements,True,AV junctional rhythm,0.8994869
pronator drift,True,Neonatal tooth,0.87799823
Decreased vibration in feet and ankles bilaterally,True,Stiffness of left foot joint,0.91982013
proprioception decreased in his feet bilaterally,True,Stiffness of right foot joint,0.9090783
TFL contracted on the L,True,Fhx of HIV,0.91676337
dysmetria,True,Dysmetria,1.0000001
pastpointing,True,Picks disease,0.8682189
markedly unstable on feet,True,Acquired deformity of trunk,0.90156233
hyperdensity within the right frontal lobe,True,Bone hypertrophy of right hand,0.90986013
moderate surrounding vasogenic edema,True,Venous stasis edema of bilat legs,0.920415
acute intraparenchymal hemorrhage,True,Subacute hepatic necrosis,0.9067408
The chronic encephalomalacic changes at the adjacent right frontal lobe,True,Encephalomalacia,0.91755927
mild mass effect upon the anterior Mims,True,Bilat age related anterior subcapsular polar cataract,0.9038716
intraaxial or extraaxial fluid collections,False,Alternating exotropia w a pattern,0.8358134
hematoma,True,Hematoma,0.9999999
displacement of the normally midline structures,True,Deviation of mandible when opening or closing,0.91160166
effacement of the basal cisterns,True,Hx of deep anterior lamellar keratectomy,0.9085485
skull bulge,True,Head swelling,0.928211
skull base fracture,True,Brainstem laceration,0.9090131
an air / fluid level within the right maxillary sinus,True,Residual foreign body in bone,0.9093307
acute sinusitis,True,Acute sinusitis,0.99999994
acute blood,True,Acute MI,0.9597805
acute trauma,True,Traumatic shock,0.9475173
1900-02-10 x 1900-01-23 mm acute intraparenchymal hematoma at the right frontal lobe,False,"Turner syndrome 45, X/other cell line w abnl sex chromosome",0.8191191
mild mass effect upon the ipsilateral lateral ventricle,True,Left upper arm abrasion,0.89210796
congophilic angiopathy,True,Hereditary angioedema,0.9265535
Chronic encephalomalacic changes at the right frontal lobe,True,Encephalomalacia,0.96305007
significant change,False,Head swelling,0.8493399
non-specific ST-T wave abnormalities,True,HX of non ST elevation MI,0.9222703
past intracranial hemorrhages,True,Traumatic intracranial hemorrhage,0.9668225
R-frontal hemorrhage,True,Left orbital hemorrhage,0.94248164
gradually slowing of mentation,True,Left age related entropion,0.89092195
increased gait instability,True,Postural instability of gait,0.93036616
not oriented to time,True,Social (pragmatic) communication disorder,0.8642046
somewhat slow,True,Elevated CEA,0.8876136
difficulties generating a list of animals,True,Hx of Graves disease,0.8744941
mildly decreased vibration and proprioception in both LE,True,Bilat vestibular function disorder,0.9109086
peripheral neuropathy,True,Peripheral neuropathy,0.9999998
a new significant R-frontal intraparenchymal hemorrhage in the same location,True,Left age related entropion,0.89604217
the prior bleed,True,Postop fever,0.8713688
underlying amyloidosis,True,Secondary systemic amyloidosis,0.97533107
a mass,True,Secondary dm,0.87260914
a hemorrhage in the R-frontal region,True,Hemorrhage due to vascular graft,0.95214045
the hemorrhage,True,HX of hemorrhagic stroke w unspecified residual deficits,0.9409655
hypertensive bleed ( cortical ),True,Hx of subdural hematoma,0.9067594
initially elevated,True,Elevated CEA,0.913504
a cortical bleed,True,Cortical paralysis of fixation syndrome,0.9203683
allergy,True,Allergy testing,0.9688795
very mild right pronator drift,True,Left congenital dacryostenosis,0.9228308
his persistently poor memory,True,Acquired left flat foot,0.86584795
telemetry events,True,Cardiovascular device protrusion,0.8779012
breathing problems,True,Respiratory distress,0.9335436
borderline DM,True,Left TMJ disorder,0.8831631
abnormal,True,Angry,0.94864225
unstable on his feet,True,Instability of left foot joint,0.90311134
this gait problem,True,Postural instability of gait,0.946374
underlying lesion,True,Brain lesion,0.92422855
cold symptoms,True,Common cold,0.94198173
Right sided intraparenchymal cerebral hemorrhage,True,Diffuse intraventricular block,0.8989329
difficulty walking,True,Difficulty walking,1.0
memory loss,True,Memory loss,1.0000002
brain hemorrhage,True,Traumatic brainstem hemorrhage,0.9570672
loss of coordination,True,Lack of coordination,0.9466491
worsened problems with walking,True,Impairment of self care,0.8961844
DIVERTICULITIS,True,Diverticulitis,0.99999976
Diverticulitis,True,Diverticulitis,0.99999976
occasional abdominal pain in the right lower quadrant,True,Localized swelling on right lower leg,0.93028307
shaking,True,Agitation,0.9597815
change in her bowel movements,True,Change in bowel habit,0.95674634
attacks,True,Headache,0.956915
diverticulitis flairs,True,Diverticulitis,0.9472357
baseline diverticulosis flairing,True,Hx of diverticulitis,0.934935
an attack of diverticulitis,True,Hx of diverticulitis,0.9496829
multiple diverticula throughout the colon,True,Diverticulitis of colon,0.9489948
diverticulosis,True,Diverticulosis,0.9999998
acute diverticulitis,True,Diverticulitis,0.96828914
placenta previa,True,Placenta accreta,0.9554806
occasional dyspnea,True,Dyspnea,0.9603329
occasional left chest tightening,True,Right visual discomfort,0.92622757
bleeding in her urine or stool,True,"Superficial foreign body of abdominal wall, w infection",0.9004298
Occasional bleeding,True,Abdominal swelling,0.900828
occasional dizziness,True,Dizziness,0.9697523
a drop,True,Secondary dm,0.8600031
a III / VI murmur at the upper left sternal border,True,AV junctional bradycardia,0.87956494
eventful hernia,True,Incisional hernia w gangrene,0.93898493
edema of the extremities,True,"Vascular insufficiency of limb, unspecified type",0.9028652
the passage of some blood clots,True,Hx of thrombophlebitis,0.89507914
blood per rectum,True,Bright red blood per rectum,0.94291365
bleeding per rectum,True,Rectal bleeding,0.95260286
some initial nausea,True,Persistent vomiting,0.9105681
some slight dizziness,True,Dizziness,0.9285244
some slight headaches,True,Dizziness,0.8879838
the dizziness,True,Dizziness,0.95784575
Her wound,True,Wound drainage,0.93334365
uncomplicated,True,AICD complication,0.8785381
preterm contractions,True,Preterm uterine contractions,0.95494705
cervical change,True,Cervical lesion,0.9637364
Intermittent maternal hypertension,True,Labile hypertension,0.93628126
proteinuria,True,Proteinuria,0.9999999
increased preterm contractions,True,Preterm uterine contractions,0.9387554
uterine tenderness,True,Endometrial thickening,0.927122
mildly increased fetal heart rates,True,Decreased fetal movement,0.92686456
chorioamnionitis,True,Chorioamnionitis,0.99999994
premature,True,Corn,0.96719587
Mild grunting,True,Persistent vomiting,0.8968399
a left pneumothorax,True,Spontaneous pneumothorax,0.96661794
occasional apnea,True,Apnea,0.94486475
bradycardia episodes,True,Bradycardia,0.98945814
heme positive stools,True,Occult blood in stool,0.933849
grossly bloody streaks,True,Microscopic hematuria,0.9200139
mucus,True,Mucus plugging,0.93701196
protein allergy,True,Food allergy,0.9755105
trace positive,True,Smallpox,0.8732868
Premature twin,True,Twin pregnancy,0.9053207
Respiratory distress,True,Respiratory distress,1.0000001
left pneumothorax,True,Spontaneous pneumothorax,0.9768815
Mild hyperbilirubinemia,True,Hyperbilirubinemia of prematurity,0.9824282
Mild apnea and bradycardia,True,Obstructive apnea of newborn,0.90960604
milk proteine allergy,True,Milk product allergy,0.9713583
breech,True,Breech presentation,0.97406656
breech presentation of twins,True,Breech presentation,0.95636827
Spontaneous vaginal delivery Laceration,True,Old vaginal laceration,0.9462848
further events,True,Breakthrough bleeding,0.8930164
chest discomfort,True,Chest discomfort,1.0000002
ENDOMETRIAL CARCINOMA,True,Endometrial carcinosarcoma,0.98570395
ENDOMETRIAL CANCER,True,Endometrial cancer,1.0000002
an abnormal pap smear,True,Vaginal swab culture positive,0.89921904
grade 1900-01-01 endometrial cancer,True,Suspected COVID-19,0.868132
no menses,True,Anosmia,0.87371665
menopausal,True,Menopause,0.98689896
spotting,True,Sight problem,0.90990126
some constant brown discharge,True,Transient heat fatigue,0.8945678
an endometrial cell,True,Lung endometriosis,0.94297314
Migraines,True,Migraine,0.9805112
migraines,True,Migraine,0.9805112
colonic polyps,True,Colon polyp,0.97571975
colon cancer,True,Colorectal cancer,0.96013355
this disease,True,Terminal illness,0.902387
"breast , ovarian or uterine cancer",True,Acquired ovarian and fallopian tube atrophy,0.91682065
mildly obese,True,Severe obesity in pregnancy,0.9090253
Pfannenstiel scar,True,Spigelian hernia w gangrene,0.8699137
additional masses,True,Chest mass,0.92443013
nodules,True,Pulmonary nodule,0.9428611
a grade 1900-01-01 cancer,True,"Hx of MI, type 2",0.86147547
invasion of the myometrium,True,Endometrial thickening,0.93629766
Right-sided weakness,True,Right arm pain,0.92726934
difficulty speaking,True,Difficulty walking,0.9284426
multiple vascular risk factors,True,Secondary peripheral vascular disease,0.9098088
1900-01-02 previous strokes,False,COVID-19 disease,0.84123397
two myocardial infarctions,True,Postmyocardial infarction syndrome,0.92737806
acute onset right sided hemiplegia,True,"Hemiplegia, right dominant side",0.9505248
weak right leg,True,Right locked knee,0.9135512
flaccid right arm,True,Right atrophic flaccid eardrum,0.90857345
severe dysarthria,True,Dysarthria,0.97920096
any recent bleeding,False,Peripheral vein complication after surgery,0.83643997
upper respiratory infection,True,Upper respiratory tract disease,0.9677664
anterior cerebellar infarction,True,Cerebellar stroke syndrome,0.95561
Silent stroke,True,Vascular headache,0.88577795
left MCA stroke,True,Left TMJ disorder,0.9428382
right facial droop,True,Right arm cramp,0.8859073
hypercholesterolinemia,True,Hypercholesterolemia,0.9682721
bipolar disorder,True,"Bipolar 2 disorder, depressed episode in full remission",0.9597193
Nonfluent speech,True,Slurred speech,0.88861823
neglect,True,Fever,0.9566408
Right facial droop,True,Right arm cramp,0.8859073
Decreased tone on right arm,True,Right hand muscle strain,0.89330137
Dense loss,True,Bone spur,0.8857844
limited,True,Canities,0.87989086
Creatinine slightly elevated,True,Elevated serum creatinine,0.9449727
Slight effacement of posterior insular cortex,True,Effusion of joint,0.9145397
Restricted diffusion in left frontotemporal region,True,Aphasia-angular gyrus syndrome,0.8894745
acute infarct,True,Acute cerebral ischemia,0.9313498
Brain atrophy,True,Cerebral degeneration in childhood,0.92248976
small vessel disease,True,Blood vessel injury,0.91606665
chronic lacunes bilaterally in basal ganglia,True,Balos concentric sclerosis,0.9070965
chronic infarct in the right occipital cortex,True,Testicular infarction,0.91568375
a chronic infarction in the right cerebellum,True,Varicose ulcer of left lower leg w inflammation,0.9155569
acute hemorrhage,True,Pulmonary hemorrhage,0.96059126
Subtle decreased flow signal within the Sylvian branches,True,HX of Glenn shunt,0.9049556
major vascular occlusion,True,Cerebral artery occlusion,0.95385516
stenosis,True,Spinal stenosis,0.92581373
Elongated left atrium,True,Right atrial enlargement,0.92859423
LV cavity moderately dilated,True,Hx of bilat hip hemiarthroplasty,0.9110503
thrombi,True,Cerebral artery thrombosis,0.91370124
Resting regional wall motion abnormalities,True,Left femoral neck stress fx,0.87436163
apical dyskinesis,True,Bilat labyrinthine dysfunction,0.92300856
distal inferior and inferolateral wall akinesis,True,Left femur distal epiphysis Fx,0.8846985
Mildly dilated aortic root and ascending aorta,True,Dilated aortic root,0.967667
aortic or mitral regurgitation,True,Aortic valve regurgitation,0.9577062
acute onset right-sided hemiparesis,True,"Hemiplegia, right dominant side",0.92298347
aphasia,True,Aphasia,1.0000002
acute left MCA infarct,True,Acute cerebral ischemia,0.9195977
symptom onset,True,Nervous system symptom,0.92948735
symptomatic,True,Asymptomatic neurosyphilis,0.93822825
diffusion abnormalities,True,White matter disease,0.90868187
hyperintensity,True,Hypervascular bladder lesion,0.87114036
decreased right sided weakness,True,Right arm pain,0.91500443
